,Sex,Age,Height,Weight,Season,Sport,Medal
0,M,24.0,180.0,80.0,Summer,Basketball,
1,M,23.0,170.0,60.0,Summer,Judo,
2,M,24.0,,,Summer,Football,
3,M,34.0,,,Summer,Tug-Of-War,3.0
4,F,21.0,185.0,82.0,Winter,Speed Skating,
5,F,21.0,185.0,82.0,Winter,Speed Skating,
6,F,25.0,185.0,82.0,Winter,Speed Skating,
7,F,25.0,185.0,82.0,Winter,Speed Skating,
8,F,27.0,185.0,82.0,Winter,Speed Skating,
9,F,27.0,185.0,82.0,Winter,Speed Skating,
10,M,31.0,188.0,75.0,Winter,Cross Country Skiing,
11,M,31.0,188.0,75.0,Winter,Cross Country Skiing,
12,M,31.0,188.0,75.0,Winter,Cross Country Skiing,
13,M,31.0,188.0,75.0,Winter,Cross Country Skiing,
14,M,33.0,188.0,75.0,Winter,Cross Country Skiing,
15,M,33.0,188.0,75.0,Winter,Cross Country Skiing,
16,M,33.0,188.0,75.0,Winter,Cross Country Skiing,
17,M,33.0,188.0,75.0,Winter,Cross Country Skiing,
18,M,31.0,183.0,72.0,Winter,Cross Country Skiing,
19,M,31.0,183.0,72.0,Winter,Cross Country Skiing,
20,M,31.0,183.0,72.0,Winter,Cross Country Skiing,
21,M,31.0,183.0,72.0,Winter,Cross Country Skiing,
22,M,33.0,183.0,72.0,Winter,Cross Country Skiing,
23,M,33.0,183.0,72.0,Winter,Cross Country Skiing,
24,M,33.0,183.0,72.0,Winter,Cross Country Skiing,
25,M,33.0,183.0,72.0,Winter,Cross Country Skiing,
26,F,18.0,168.0,,Summer,Athletics,
27,F,18.0,168.0,,Summer,Athletics,
28,M,26.0,186.0,96.0,Winter,Ice Hockey,
29,M,26.0,,,Summer,Swimming,
30,M,22.0,182.0,76.5,Winter,Cross Country Skiing,
31,M,31.0,172.0,70.0,Summer,Badminton,
32,F,30.0,159.0,55.5,Summer,Sailing,
33,F,34.0,159.0,55.5,Summer,Sailing,
34,F,32.0,171.0,65.0,Winter,Biathlon,
35,M,22.0,,,Summer,Swimming,
36,M,22.0,,,Summer,Swimming,
37,M,30.0,,,Summer,Swimming,1.0
38,M,30.0,,,Summer,Swimming,1.0
39,M,34.0,,,Summer,Swimming,
40,M,28.0,184.0,85.0,Winter,Ice Hockey,1.0
41,M,28.0,175.0,64.0,Summer,Gymnastics,1.0
42,M,28.0,175.0,64.0,Summer,Gymnastics,3.0
43,M,28.0,175.0,64.0,Summer,Gymnastics,
44,M,28.0,175.0,64.0,Summer,Gymnastics,3.0
45,M,28.0,175.0,64.0,Summer,Gymnastics,
46,M,28.0,175.0,64.0,Summer,Gymnastics,
47,M,28.0,175.0,64.0,Summer,Gymnastics,
48,M,28.0,175.0,64.0,Summer,Gymnastics,3.0
49,M,32.0,175.0,64.0,Summer,Gymnastics,
50,M,32.0,175.0,64.0,Summer,Gymnastics,1.0
51,M,32.0,175.0,64.0,Summer,Gymnastics,
52,M,32.0,175.0,64.0,Summer,Gymnastics,
53,M,32.0,175.0,64.0,Summer,Gymnastics,
54,M,32.0,175.0,64.0,Summer,Gymnastics,
55,M,32.0,175.0,64.0,Summer,Gymnastics,
56,M,32.0,175.0,64.0,Summer,Gymnastics,
57,M,31.0,189.0,130.0,Summer,Athletics,
58,M,54.0,,,Summer,Art Competitions,
59,M,20.0,176.0,85.0,Winter,Alpine Skiing,
60,M,20.0,176.0,85.0,Winter,Alpine Skiing,3.0
61,M,20.0,176.0,85.0,Winter,Alpine Skiing,1.0
62,M,20.0,176.0,85.0,Winter,Alpine Skiing,
63,M,22.0,176.0,85.0,Winter,Alpine Skiing,2.0
64,M,22.0,176.0,85.0,Winter,Alpine Skiing,1.0
65,M,22.0,176.0,85.0,Winter,Alpine Skiing,
66,M,22.0,176.0,85.0,Winter,Alpine Skiing,
67,M,22.0,176.0,85.0,Winter,Alpine Skiing,2.0
68,M,26.0,176.0,85.0,Winter,Alpine Skiing,
69,M,26.0,176.0,85.0,Winter,Alpine Skiing,
70,M,26.0,176.0,85.0,Winter,Alpine Skiing,
71,M,26.0,176.0,85.0,Winter,Alpine Skiing,
72,M,30.0,176.0,85.0,Winter,Alpine Skiing,
73,M,30.0,176.0,85.0,Winter,Alpine Skiing,3.0
74,M,30.0,176.0,85.0,Winter,Alpine Skiing,
75,M,30.0,176.0,85.0,Winter,Alpine Skiing,
76,M,30.0,176.0,85.0,Winter,Alpine Skiing,3.0
77,M,34.0,176.0,85.0,Winter,Alpine Skiing,
78,M,34.0,176.0,85.0,Winter,Alpine Skiing,3.0
79,F,27.0,163.0,,Summer,Handball,3.0
80,F,22.0,170.0,125.0,Summer,Weightlifting,
81,M,22.0,187.0,89.0,Summer,Wrestling,
82,M,26.0,187.0,89.0,Summer,Wrestling,
83,M,24.0,,,Winter,Speed Skating,
84,M,24.0,,,Winter,Speed Skating,
85,M,27.0,,,Winter,Speed Skating,
86,M,24.0,,,Summer,Gymnastics,2.0
87,F,17.0,169.0,65.0,Winter,Luge,
88,M,26.0,,,Summer,Water Polo,
89,M,43.0,170.0,77.0,Summer,Sailing,
90,M,47.0,170.0,77.0,Summer,Sailing,
91,F,22.0,,,Summer,Hockey,1.0
92,M,26.0,189.0,72.0,Summer,Rowing,2.0
93,M,30.0,189.0,72.0,Summer,Rowing,
94,M,24.0,174.0,70.0,Summer,Athletics,
95,M,23.0,,,Summer,Athletics,
96,M,24.0,187.0,76.0,Summer,Sailing,
97,M,28.0,187.0,76.0,Summer,Sailing,
98,M,30.0,187.0,76.0,Summer,Athletics,
99,M,24.0,190.0,98.0,Winter,Bobsleigh,
100,M,21.0,194.0,78.0,Summer,Swimming,
101,M,21.0,194.0,78.0,Summer,Swimming,
102,M,21.0,194.0,78.0,Summer,Swimming,
103,M,25.0,194.0,78.0,Summer,Swimming,
104,M,25.0,194.0,78.0,Summer,Swimming,
105,F,23.0,182.0,64.0,Summer,Football,1.0
106,M,20.0,,,Summer,Gymnastics,2.0
107,M,33.0,,,Summer,Fencing,
108,M,33.0,,,Summer,Fencing,
109,M,33.0,,,Summer,Fencing,
110,M,23.0,,,Winter,Speed Skating,1.0
111,M,27.0,,,Winter,Speed Skating,
112,M,27.0,,,Winter,Speed Skating,
113,M,31.0,,,Winter,Speed Skating,3.0
114,M,31.0,,,Winter,Speed Skating,
115,M,31.0,,,Winter,Speed Skating,
116,M,28.0,,,Summer,Football,
117,M,25.0,,,Summer,Sailing,3.0
118,M,34.0,185.0,75.0,Summer,Equestrianism,
